Date,x,y,BroadTopic,Topic,SubTopic,category_id
2008,4.548061,5.7791944,20,,,20
2012,6.7016694,6.030988333333333,20,,,20
2016,4.2352098,7.610786,20,,,20
2020,5.1768215,5.447896350000001,20,,,20
1992,1.295227,3.9437814,21,,,21
2004,1.2848477333333332,3.9134735333333333,21,,,21
2008,1.2530647666666666,3.9615408666666667,21,,,21
2016,1.1898118,3.4767573,21,,,21
2020,3.340637072,5.2406021,21,,,21
1984,10.311458,2.3042057,22,,,22
1988,9.64560228,2.94786662,22,,,22
2004,10.317821,2.2791655,22,,,22
2008,10.316605,2.3052242,22,,,22
2012,10.32825125,2.3144975500000005,22,,,22
1960,2.7511166364120365,1.4495299959884258,0,0.0,,23
1976,3.040362319262295,1.7382516490163935,0,0.0,,23
1980,3.0344745382999996,1.8534893630299998,0,0.0,,23
1984,2.348948215234043,2.0579693539148938,0,0.0,,23
1988,2.737288046108108,2.19757252654054,0,0.0,,23
1992,2.441074238803738,2.7781157311214955,0,0.0,,23
1996,2.503337831360947,2.79105878556213,0,0.0,,23
2000,2.019542891776632,2.5334437315945015,0,0.0,,23
2004,2.051021985044643,2.784853278065476,0,0.0,,23
2008,2.1288249167546174,2.3653923141688655,0,0.0,,23
2012,1.7388374263908046,2.471139429954023,0,0.0,,23
2016,2.0419645388967136,2.3271217892957745,0,0.0,,23
2020,3.0289729784810127,3.0035044337341774,0,0.0,,23
1960,7.825961768749999,2.8751879660714286,1,1.0,,24
1976,8.280461507692307,2.971359817282051,1,1.0,,24
1980,8.498475524761904,2.8470111609523814,1,1.0,,24
1984,8.474991835257732,3.110245594845361,1,1.0,,24
1988,8.28781468677686,3.1553227925619836,1,1.0,,24
1992,8.387545125882355,3.089253702647059,1,1.0,,24
1996,8.099731649806952,3.3526758904633205,1,1.0,,24
2000,8.175670540890689,3.68150237854251,1,1.0,,24
2004,8.310796269483568,3.323766504694836,1,1.0,,24
2008,8.275944617427385,3.294024451452282,1,1.0,,24
2012,8.523406526767678,3.2955451588383835,1,1.0,,24
2016,8.138929788380283,3.462341907042253,1,1.0,,24
